sep=,
Total received,On-peak usage,Off-peak usage,Month,,
"754.000000","92.000000","662.000000","Dec","11/01-12/03","2019-12-01"
"996.000000","151.000000","845.000000","Nov","10/01-11/01","2019-11-01"
"654.000000","91.000000","563.000000","Oct","09/04-10/01","2019-10-01"
"616.000000","69.000000","547.000000","Sep","08/01-09/04","2019-09-01"
"848.000000","110.000000","738.000000","Aug","07/02-08/01","2019-08-01"
"1415.000000","275.000000","1140.000000","Jul","06/01-07/02","2019-07-01"
"601.000000","120.000000","481.000000","Jun","05/20-06/01","2019-06-01"
