Time,System Production (Wh)
11/01/2019,"57418"
11/02/2019,"54493"
11/03/2019,"51926"
11/04/2019,"52910"
11/05/2019,"51984"
11/06/2019,"42649"
11/07/2019,"52357"
11/08/2019,"47102"
11/09/2019,"41961"
11/10/2019,"48472"
11/11/2019,"50754"
11/12/2019,"50863"
11/13/2019,"51165"
11/14/2019,"47672"
11/15/2019,"42311"
11/16/2019,"24529"
11/17/2019,"50283"
11/18/2019,"48176"
11/19/2019,"16066"
11/20/2019,"12643"
11/21/2019,"23104"
11/22/2019,"49285"
11/23/2019,"44595"
11/24/2019,"43576"
11/25/2019,"44048"
11/26/2019,"52494"
11/27/2019,"33368"
11/28/2019,"25277"
11/29/2019,"32332"
11/30/2019,"50219"
