Time,System Production (Wh)
07/01/2019,"69924"
07/02/2019,"71004"
07/03/2019,"71105"
07/04/2019,"72030"
07/05/2019,"71769"
07/06/2019,"70289"
07/07/2019,"56145"
07/08/2019,"73009"
07/09/2019,"70912"
07/10/2019,"68119"
07/11/2019,"59415"
07/12/2019,"53602"
07/13/2019,"68184"
07/14/2019,"67004"
07/15/2019,"66738"
07/16/2019,"68130"
07/17/2019,"60774"
07/18/2019,"65596"
07/19/2019,"64779"
07/20/2019,"69586"
07/21/2019,"67677"
07/22/2019,"51717"
07/23/2019,"64643"
07/24/2019,"62017"
07/25/2019,"68211"
07/26/2019,"65910"
07/27/2019,"68190"
07/28/2019,"65014"
07/29/2019,"58486"
07/30/2019,"63770"
07/31/2019,"49962"
