Time,System Production (Wh)
05/01/2020,"72105"
05/02/2020,"72221"
05/03/2020,"72290"
05/04/2020,"71881"
05/05/2020,"70960"
05/06/2020,"68877"
05/07/2020,"71263"
05/08/2020,"66893"
05/09/2020,"63313"
05/10/2020,"45102"
05/11/2020,"71337"
05/12/2020,"73181"
05/13/2020,"73226"
05/14/2020,"70303"
05/15/2020,"70502"
05/16/2020,"70825"
05/17/2020,"71087"
05/18/2020,"71239"
05/19/2020,"74454"
05/20/2020,"74761"
05/21/2020,"73794"
05/22/2020,"70741"
05/23/2020,"71645"
05/24/2020,"72339"
05/25/2020,"72511"
05/26/2020,"70926"
05/27/2020,"69531"
05/28/2020,"68632"
05/29/2020,"67756"
05/30/2020,"66283"
05/31/2020,"69365"
