Time,System Production (Wh)
01/01/2021,"47737"
01/02/2021,"40957"
01/03/2021,"40557"
01/04/2021,"47334"
01/05/2021,"47749"
01/06/2021,"40646"
01/07/2021,"46826"
01/08/2021,"36715"
01/09/2021,"49425"
01/10/2021,"47999"
01/11/2021,"48868"
01/12/2021,"29018"
01/13/2021,"0"
01/14/2021,"0"
01/15/2021,"0"
01/16/2021,"0"
01/17/2021,"0"
01/18/2021,"0"
01/19/2021,"0"
01/20/2021,"0"
01/21/2021,"0"
01/22/2021,"0"
01/23/2021,"0"
01/24/2021,"0"
01/25/2021,"0"
01/26/2021,"0"
01/27/2021,"0"
01/28/2021,"0"
01/29/2021,"0"
01/30/2021,"0"
01/31/2021,"0"
