Time,System Production (Wh)
08/01/2019,"63749"
08/02/2019,"63254"
08/03/2019,"61675"
08/04/2019,"65581"
08/05/2019,"58489"
08/06/2019,"24297"
08/07/2019,"57083"
08/08/2019,"67024"
08/09/2019,"43267"
08/10/2019,"64771"
08/11/2019,"67350"
08/12/2019,"68761"
08/13/2019,"67598"
08/14/2019,"67614"
08/15/2019,"67714"
08/16/2019,"66651"
08/17/2019,"66472"
08/18/2019,"57784"
08/19/2019,"67386"
08/20/2019,"66134"
08/21/2019,"0"
08/22/2019,"0"
08/23/2019,"0"
08/24/2019,"0"
08/25/2019,"0"
08/26/2019,"0"
08/27/2019,"0"
08/28/2019,"0"
08/29/2019,"0"
08/30/2019,"0"
08/31/2019,"0"
