sep=,
date,On-peak usage,Off-peak usage,Other-peak,Total delivered,Total produced,Avg temperature
"2020-12-02","2.8392","16.7064","0.054","19.5996","47.9784","55"
"2020-12-03","2.8548","14.8572","1.6224","19.3344","48.0936","58"
"2020-12-04","3.0756","11.8632","1.7796","16.7184","47.9652","51"
"2020-12-05","null","44.4096","null","44.4096","25.2204","53"
"2020-12-06","null","15.1296","null","15.1296","46.3896","54"
"2020-12-07","2.394","12.3696","0.006","14.7696","42.5556","60"
"2020-12-08","3.738","11.4768","1.1004","16.3152","38.8884","63"
"2020-12-09","3.3888","10.7556","0.3396","14.484","39.7068","62"
"2020-12-10","4.5828","14.6868","14.1744","33.444","8.3724","54"
"2020-12-11","1.1316","14.9436","0.7632","16.8384","29.61","54"
"2020-12-12","null","6.1068","null","6.1068","43.3212","54"
"2020-12-13","null","25.7592","null","25.7592","46.092","54"
"2020-12-14","2.7252","22.0404","1.6572","26.4228","46.1424","54"
"2020-12-15","3.3108","18.09","0.468","21.8688","47.4696","54"
"2020-12-16","1.842","21.8364","0.636","24.3144","46.6644","54"
"2020-12-17","5.1636","23.3628","3.8196","32.346","20.328","49"
"2020-12-18","3.9852","19.4508","1.872","25.308","45.9924","50"
"2020-12-19","null","27.8508","null","27.8508","45.9468","51"
"2020-12-20","null","24.4572","null","24.4572","46.0116","52"
"2020-12-21","2.1876","18.24","0.552","20.9796","45.0156","57"
"2020-12-22","2.4648","20.7324","0.8208","24.018","39.75","55"
"2020-12-23","4.0452","16.3464","1.9644","22.356","46.9656","53"
"2020-12-24","4.0908","24.5664","9.828","38.4852","17.9508","49"
"2020-12-25","null","24.468","null","24.468","41.7768","56"
"2020-12-26","null","20.3748","null","20.3748","45.4104","53"
"2020-12-27","null","27.6912","null","27.6912","33.852","53"
"2020-12-28","2.5392","12.7284","0.702","15.9696","40.962","54"
"2020-12-29","1.8504","19.9176","2.622","24.39","40.032","51"
"2020-12-30","1.8024","18.6732","0.348","20.8236","47.8764","54"
"2020-12-31","4.1292","24.5256","6.1692","34.824","25.7148","47"
"2021-01-01","null","19.7748","null","19.7748","46.2072","50"
"2021-01-02","null","28.9332","null","28.9332","39.6576","49"
"2021-01-03","null","30.9192","null","30.9192","39.2652","49"
