sep=,
date,On-peak usage,Off-peak usage,Other-peak,Total delivered,Total produced,Avg temperature
"2020-08-04","19.1124","42.0072","null","61.1196","56.04","96"
"2020-08-05","12.9288","38.6256","null","51.5544","63.5076","97"
"2020-08-06","13.134","33.7068","null","46.8408","63.5268","94"
"2020-08-07","15.7308","33.2928","null","49.0236","62.0196","94"
"2020-08-08","null","50.9292","null","50.9292","62.0808","96"
"2020-08-09","null","56.7888","null","56.7888","62.2188","97"
"2020-08-10","16.4028","38.868","null","55.2708","62.2692","96"
"2020-08-11","18.0804","43.4784","null","61.5588","60.0732","96"
"2020-08-12","19.0428","46.4124","null","65.4552","59.6496","96"
"2020-08-13","21.744","53.4048","null","75.1488","55.0512","102"
"2020-08-14","20.0508","50.9748","null","71.0256","59.7504","101"
"2020-08-15","null","71.31","null","71.31","60.216","102"
"2020-08-16","null","92.4264","null","92.4264","54.8328","103"
"2020-08-17","19.6644","51.7464","null","71.4108","58.7244","100"
"2020-08-18","23.046","61.5288","null","84.5748","52.6128","99"
"2020-08-19","23.1768","72.0888","null","95.2656","57.7968","98"
"2020-08-20","19.4244","50.6316","null","70.056","51.2736","95"
"2020-08-21","14.7084","51.3348","null","66.0432","49.0824","91"
"2020-08-22","null","73.974","null","73.974","58.5192","97"
"2020-08-23","null","71.3556","null","71.3556","57.5184","98"
"2020-08-24","21.9792","53.5104","null","75.4896","55.254","100"
"2020-08-25","22.7256","50.9724","null","73.698","53.2224","97"
"2020-08-26","22.8384","45.0828","null","67.9212","49.8936","98"
"2020-08-27","22.668","57.0612","null","79.7292","53.5668","99"
"2020-08-28","21.882","50.7312","null","72.6132","49.3872","106"
"2020-08-29","null","84.426","null","84.426","35.4936","95"
"2020-08-30","null","48.594","null","48.594","59.3316","91"
"2020-08-31","13.86","29.1648","null","43.0248","62.04","86"
"2020-09-01","14.1","38.8224","null","52.9224","59.8296","93"
