sep=,
date,On-peak usage,Off-peak usage,Other-peak,Total delivered,Total produced,Avg temperature
"2020-10-02","8.6808","7.6236","null","16.3044","57.8124","87"
"2020-10-03","null","29.6484","null","29.6484","58.4424","86"
"2020-10-04","null","30.9636","null","30.9636","57.8184","83"
"2020-10-05","15.1188","22.242","null","37.3608","50.8656","87"
"2020-10-06","14.472","30.5064","null","44.9784","55.8528","85"
"2020-10-07","13.344","21.7848","null","35.1288","55.8036","84"
"2020-10-08","12.0996","24.5808","null","36.6804","56.064","82"
"2020-10-09","11.8236","21.9828","null","33.8064","57.1536","83"
"2020-10-10","null","33.4464","null","33.4464","56.2548","78"
"2020-10-11","null","24.4848","null","24.4848","55.2372","78"
"2020-10-12","11.1912","15.7824","null","26.9736","54.9444","80"
"2020-10-13","12.4824","20.7024","null","33.1848","55.71","92"
"2020-10-14","10.6944","14.6448","null","25.3392","55.6512","81"
"2020-10-15","14.5704","19.1304","null","33.7008","51.0876","82"
"2020-10-16","7.5732","14.0664","null","21.6396","52.932","83"
"2020-10-17","null","12.744","null","12.744","49.1772","78"
"2020-10-18","null","25.0992","null","25.0992","53.9652","77"
"2020-10-19","10.5768","13.8696","null","24.4464","53.0988","79"
"2020-10-20","11.0064","15.5856","null","26.592","51.1536","79"
"2020-10-21","12.6348","12.3288","null","24.9636","51.1488","79"
"2020-10-22","12.1296","14.1876","null","26.3172","52.1172","77"
"2020-10-23","13.5768","16.704","null","30.2808","50.3112","78"
"2020-10-24","null","24.048","null","24.048","29.0916","75"
"2020-10-25","null","21.2064","null","21.2064","45.4152","76"
"2020-10-26","1.7784","7.7364","null","9.5148","56.226","62"
"2020-10-27","2.2848","7.1172","null","9.402","56.4372","58"
"2020-10-28","1.5252","10.2384","null","11.7636","54.4368","57"
"2020-10-29","3.828","11.7432","null","15.5712","53.4936","65"
"2020-10-30","6.6228","10.8564","null","17.4792","48.3456","70"
"2020-10-31","null","17.7684","null","17.7684","35.3412","71"
"2020-11-01","null","25.2636","null","25.2636","45.8916","78"
"2020-11-02","9.4716","15.984","2.7432","28.1988","41.8068","86"
