sep=,
Total received,On-peak usage,Off-peak usage,Month,,
"1550.000000","106.000000","1444.000000","Dec","11/09-12/09","2020-12-01"
"1461.000000","88.000000","1373.000000","Nov","10/09-11/09","2020-11-01"
"1159.000000","65.000000","1094.000000","Oct","09/10-10/09","2020-10-01"
"63.000000","10.000000","53.000000","Sep","09/04-09/10","2020-09-01"
